Name,Year,Count,Sex,Rank
Raheem,2019,4,M,394=
Rehan,2019,4,M,394=
Ronald,2019,4,M,394=
Santino,2019,4,M,394=
Sawyer,2019,4,M,394=
Seonaidh,2019,4,M,394=
Shaye,2019,4,M,394=
Soren,2019,4,M,394=
Sulaiman,2019,4,M,394=
Sullivan,2019,4,M,394=
Tomas,2019,4,M,394=
Tommie,2019,4,M,394=
Vivaan,2019,4,M,394=
Wilfred,2019,4,M,394=
Yunus,2019,4,M,394=
Zachariah,2019,4,M,394=
Zakaria,2019,4,M,431=
Flynn,2019,39,M,431=
Jake,2019,39,M,431=
Albie,2019,38,M,431=
Levi,2019,38,M,431=
Mohammad,2019,38,M,431=
Rhys,2019,38,M,431=
Ronan,2019,38,M,431=
Zach,2019,38,M,431=
Zachary,2019,38,M,431=
Ezra,2019,37,M,431=
Charles,2019,36,M,431=
Kian,2019,36,M,431=
Kieran,2019,36,M,431=
Mohammed,2019,36,M,431=
Oliver,2019,359,M,431=
Zak,2019,35,M,431=
James,2019,345,M,431=
Anthony,2019,34,M,431=
Bradley,2019,34,M,431=
Elliott,2019,34,M,431=
Mark,2019,33,M,431=
Miller,2019,33,M,431=
Felix,2019,32,M,431=
Harley,2019,32,M,431=
Jay,2019,32,M,431=
Jordan,2019,32,M,431=
Milo,2019,32,M,431=
Oran,2019,32,M,431=
Peter,2019,32,M,431=
Sean,2019,32,M,431=
Ciaran,2019,31,M,431=
Jasper,2019,31,M,431=
Kaiden,2019,31,M,464=
Robin,2019,31,M,464=
Charlie,2019,306,M,464=
Harris,2019,304,M,464=
Caelan,2019,30,M,464=
Cohen,2019,30,M,464=
Magnus,2019,30,M,464=
Xander,2019,30,M,464=
Aahil,2019,3,M,464=
Aaran,2019,3,M,464=
Aarav,2019,3,M,464=
Aayansh,2019,3,M,464=
Abdallah,2019,3,M,464=
Abe,2019,3,M,464=
Abraham,2019,3,M,464=
Alexandru,2019,3,M,464=
Amos,2019,3,M,464=
Aonghus,2019,3,M,464=
Apollo,2019,3,M,464=
Arham,2019,3,M,464=
Arjun,2019,3,M,464=
Armando,2019,3,M,464=
Arron,2019,3,M,464=
Arryn,2019,3,M,464=
Asa,2019,3,M,464=
Ash,2019,3,M,464=
Austen,2019,3,M,464=
Baillie,2019,3,M,464=
Bentley,2019,3,M,464=
Bo,2019,3,M,464=
Bowen,2019,3,M,464=
Braxton,2019,3,M,464=
Brooklyn,2019,3,M,464=
Caelen,2019,3,M,464=
Caelin,2019,3,M,464=
Cai,2019,3,M,464=
Cairo,2019,3,M,464=
Cal,2019,3,M,464=
Camden,2019,3,M,464=
Carter-James,2019,3,M,464=
Cassius,2019,3,M,464=
Cayson,2019,3,M,464=
Cezary,2019,3,M,464=
Chay,2019,3,M,464=
Cjay,2019,3,M,464=
Clyde,2019,3,M,464=
Cobie,2019,3,M,464=
Cobyn,2019,3,M,464=
Copland,2019,3,M,464=
Cullen,2019,3,M,464=
Damir,2019,3,M,464=
Dara,2019,3,M,464=
Dax,2019,3,M,516=
Denver,2019,3,M,516=
Devon,2019,3,M,516=
Dhruv,2019,3,M,516=
Diego,2019,3,M,516=
Dilan,2019,3,M,516=
Elis,2019,3,M,516=
Emilio,2019,3,M,516=
Emin,2019,3,M,516=
Ernie,2019,3,M,516=
Finnley,2019,3,M,516=
Franky,2019,3,M,516=
Frazer,2019,3,M,516=
Fred,2019,3,M,516=
Gene,2019,3,M,516=
Gethin,2019,3,M,516=
Gino,2019,3,M,516=
Graham,2019,3,M,516=
Greig,2019,3,M,516=
Guy,2019,3,M,516=
Hamzah,2019,3,M,516=
Hasnain,2019,3,M,516=
Hendrik,2019,3,M,516=
Himmat,2019,3,M,516=
Innis,2019,3,M,516=
Ioannis,2019,3,M,516=
Iustin,2019,3,M,516=
Izaac,2019,3,M,516=
Jak,2019,3,M,516=
Jaxen,2019,3,M,516=
Jayson,2019,3,M,516=
Jed,2019,3,M,516=
Jimmy,2019,3,M,516=
John-James,2019,3,M,516=
Kabir,2019,3,M,516=
Kadyn,2019,3,M,516=
Kaidyn,2019,3,M,516=
Kaii,2019,3,M,516=
Kairo,2019,3,M,516=
Kajus,2019,3,M,516=
Kallum,2019,3,M,516=
Kalvyn,2019,3,M,516=
Kamil,2019,3,M,516=
Karol,2019,3,M,516=
Kaylen,2019,3,M,516=
Keelan,2019,3,M,516=
Keiran,2019,3,M,516=
Keith,2019,3,M,516=
Kenneth,2019,3,M,516=
Klay,2019,3,M,516=
Koah,2019,3,M,516=
Kohen,2019,3,M,516=
Kornel,2019,3,M,516=
Kye,2019,3,M,516=
Kylan,2019,3,M,516=
Kyson,2019,3,M,516=
Lars,2019,3,M,516=
Leif,2019,3,M,516=
Lloyd,2019,3,M,516=
Lochie,2019,3,M,516=
Lochlann,2019,3,M,516=
Lochlyn,2019,3,M,516=
Lucca,2019,3,M,516=
Macaulay,2019,3,M,516=
Mackie,2019,3,M,516=
Malik,2019,3,M,516=
Manuel,2019,3,M,516=
Mario,2019,3,M,516=
Marlow,2019,3,M,516=
Matas,2019,3,M,516=
Matias,2019,3,M,516=
Maverick,2019,3,M,516=
Maxim,2019,3,M,516=
Micheal,2019,3,M,516=
Milan,2019,3,M,516=
Mohamad,2019,3,M,516=
Neil,2019,3,M,516=
Nicky,2019,3,M,516=
Noa,2019,3,M,516=
Omer,2019,3,M,516=
Orin,2019,3,M,516=
Orlando,2019,3,M,516=
Osten,2019,3,M,516=
Ovie,2019,3,M,516=
Paolo,2019,3,M,516=
Pierce,2019,3,M,516=
Piotr,2019,3,M,516=
Prince,2019,3,M,516=
Quinten,2019,3,M,516=
Raife,2019,3,M,516=
Ralphy,2019,3,M,516=
Rami,2019,3,M,516=
Rayaan,2019,3,M,516=
Reagan,2019,3,M,609=
Reid,2019,3,M,609=
Reign,2019,3,M,609=
Reilly,2019,3,M,609=
Reiss,2019,3,M,609=
Rhudi,2019,3,M,609=
Rian,2019,3,M,609=
Richie,2019,3,M,609=
Ricky,2019,3,M,609=
Roberts,2019,3,M,609=
Roland,2019,3,M,609=
Rowen,2019,3,M,609=
Roy,2019,3,M,609=
Ruan,2019,3,M,609=
Rufus,2019,3,M,609=
Rui,2019,3,M,609=
Saif,2019,3,M,609=
Sammy,2019,3,M,609=
Shayan,2019,3,M,609=
Sidney,2019,3,M,609=
Sigurd,2019,3,M,609=
Stan,2019,3,M,609=
Teo,2019,3,M,609=
Theodor,2019,3,M,609=
Thorfinn,2019,3,M,609=
Toran,2019,3,M,609=
Tyler-James,2019,3,M,609=
Tyrone,2019,3,M,609=
Vincenzo,2019,3,M,609=
Weston,2019,3,M,609=
Wilbur,2019,3,M,609=
Woody,2019,3,M,609=
Yahia,2019,3,M,609=
Youssef,2019,3,M,609=
Yousuf,2019,3,M,609=
Zalan,2019,3,M,609=
Zayaan,2019,3,M,609=
Zayne,2019,3,M,609=
Zion,2019,3,M,609=
Jason,2019,29,M,609=
Reece,2019,29,M,609=
Ruairi,2019,29,M,609=
Scott,2019,29,M,609=
Lewis,2019,280,M,609=
Cian,2019,28,M,609=
Filip,2019,28,M,609=
Nico,2019,28,M,609=
Olly,2019,28,M,609=
Leo,2019,278,M,609=
Noah,2019,272,M,609=
Gregor,2019,27,M,609=
Junior,2019,27,M,609=
Alfie,2019,261,M,609=
Antoni,2019,26,M,609=
Colton,2019,26,M,609=
Jenson,2019,26,M,609=
Layton,2019,26,M,609=
Ross,2019,26,M,609=
Rory,2019,258,M,609=
Frederick,2019,25,M,609=
Maxwell,2019,25,M,609=
Nicholas,2019,25,M,609=
Alexander,2019,240,M,609=
Danny,2019,24,M,609=
Declan,2019,24,M,609=
Ibrahim,2019,24,M,609=
Oskar,2019,24,M,609=
Reggie,2019,24,M,609=
Shay,2019,24,M,609=
Zander,2019,24,M,609=
Max,2019,237,M,609=
Logan,2019,235,M,609=
Alasdair,2019,23,M,609=
Ashton,2019,23,M,609=
Cruz,2019,23,M,609=
Findlay,2019,23,M,609=
Hayden,2019,23,M,609=
Jace,2019,23,M,609=
Kerr,2019,23,M,609=
Rio,2019,23,M,609=
Rudi,2019,23,M,609=
Spencer,2019,23,M,609=
Taylor,2019,23,M,609=
Toby,2019,23,M,609=
Lucas,2019,229,M,609=
Harry,2019,227,M,609=
Joel,2019,22,M,609=
Keir,2019,22,M,609=
Paul,2019,22,M,609=
Theo,2019,218,M,609=
Thomas,2019,218,M,609=
Bobby,2019,21,M,609=
Campbell,2019,21,M,701=
Kacper,2019,21,M,701=
Miles,2019,21,M,701=
Otis,2019,21,M,701=
Travis,2019,21,M,701=
Brodie,2019,205,M,701=
